company,position,description,location,formatted_work_type,url,formatted_experience_level,requirement
Tata Consultancy Services,Technical Lead,"Skills: CA7 Stonebranch lead

Responsibilities

Import and Export of Job scheduling information from one Stonebranch environment to other.Good knowledge on Stonebranch Triggers, timers, Virtual Resource Management & workflows.Experience in scheduling different types of jobs such as Windows, sftp, SAP SDI Workflows and SAP jobs.Experience in analyzing job failures and providing L1 support.Experience on SAP job creation & maintenance of job definitions, work flows & scheduling.Knowledge of Stonebranch to SAP connectivity setup.Experience in maintaining integration and production level jobs/work flows based on user requirements and incorporating user requested changes to daily, weekly, monthly and on-request production cycles.

Qualifications

5+ year of experience in CA7 and Stonebranch scheduling.Strong knowledge in CA7 & Stonebranch scheduling.Good experience in production support in scheduling different types of jobs such as Windows, sftp, SAP SDI Workflows and SAP jobs.Strong knowledge in CA7 & Stonebranch scheduling.High written and oral communication skills.Sound problem solving and analytical skills.Exposure in scheduling/maintaining /debugging jobs for S4 HANA.Exposure to Finance or Insurance domain is desired but not mandatory.Strong written and verbal communication skills.Self-motivated, adaptable and flexible.Good interpersonal / relationship management skills, able to foster working relationships within the team, across IT and with business colleagues.Exposure to Azure DevOps (preferred), Rally or similar Agile backlog management tools.

","New York, NY",Full-time,https://www.linkedin.com/jobs/view/3904096799/?trk=jobs_biz_prem_srch,Mid-Senior level,"Windows , Azure , SAP Hana"
Collabera,Data Compliance Analyst,"Job Details: 
Title: Data Compliance Analyst
Location: Charlotte, NC
Duration: 12 months of contract | Onsite 
Pay: $60/Hr. to $63/Hr. 
Job Description: 


Ensuring quality assurance reviews are well designed, adequately prepared for, and executed flawlessly


Ensuring scripts are well constructed to focus on quality, sampling methodologies are sound and well documented, communication with


stakeholders is clear and effective, and reporting is complete and accurate


Ensuring supporting documentation (procedures, etc.) is up to date, complete, and Audit-ready


Assess QA Execution Results for lessons learned and thematic analysis and present findings in a consumable way


Collaborate with contractors, Global Business Services (GBS) teams, and resources to ensure test cases are completed, issues are escalated as needed, and overall successful execution of QA","Charlotte, NC",Contract,https://www.linkedin.com/jobs/view/3904097293/?trk=jobs_biz_prem_srch,Mid-Senior level,Data Governance
IANULY Talent Accelerators,Sales Director,"We are looking for an ambitious Sales Director to help grow our client's PropTech SaaS solution business. This is an ideal opportunity for individuals eager to take the next step in their sales career. You will undergo a comprehensive two-week training program followed by a 3-4 quarter ramp period. In this role, you will be responsible for booking and hosting a minimum of 50 meetings each quarter, conducting 10 weekly demos on Zoom, and actively participating in daily and weekly scrums and pipeline calls with the team. Success in this role hinges on your ability to embrace cold-calling activities and be a proficient storyteller, managing leads and fostering relationships with current and potential clients. If you possess strong communication skills, resilience, and are ready to make a significant impact on sales growth, we encourage you to apply!

Requirements

About You:You are comfortable with a $72,500 - $80,000 salary range and on-target commissions of $100,000-$150,000You are prepared to work in the NYC Flatiron office. This is an onsite job in New York City.You have 3+ years of in-office product sales experience (Software, SaaS, B2B, Cloud-based services, etc.)Eager to understand the intricacies of our products and the professionals who engage with themDemonstrate a high level of accountability for personal and team performanceResults-driven with a relentless focus on achieving sales outcomesProven ability to close deals within the expected sales cycleCollaborative mindset with the ability to take ownership of tasks when necessaryStrong attention to detail and can spot and fix errorsHighly organized with a commitment to ensuring no details fall through the cracksEfficient and thoughtful worker, capable of suggesting improvements for enhanced productivityProficient in Salesforce with the ability to leverage its functionalities effectivelyA skilled and articulate storyteller 

What You'll Do: Maintain and expand the sales pipeline without reliance on leads from MarketingProactively contact, prospect, and develop new business accounts through strategic cold callingRegularly communicate progress with sales managementClose deals within the expected sales cycle, demonstrating negotiation and closure skillsDevelop and cultivate a defined territory for strategic sales growthProvide accurate and consistent pipeline forecastingConduct product demonstrations via virtual platforms for clientsEstablish and nurture customer relationships to become a trusted advisorRepresent the company at relevant trade shows and conferences 
 

Benefits

We cover 90% of your Comprehensive Medical benefits starting day 1We cover 100% of your Dental and Vision plans starting day 113 paid holidays and 25 days of PTO401(k) plan with a matchPaid Family LeaveEmployee Assistance ProgramSelf-care stipendsHealth Advocacy ProgramAccess to optional benefits, including pre-tax flexible healthcare spending accounts (FSA and HSA), Dependent Care FSA, and Commuter Benefits, Pet Insurance and more!","New York, NY",Full-time,https://www.linkedin.com/jobs/view/3904097753/?trk=jobs_biz_prem_srch,Entry level,B2BSaaSSalesforcesalestech sales
Tata Consultancy Services,SAP SD,"Technical/Functional Skills

At least 5 years of experience with SAP projectsPreferred experience in S4 HANASolid written and verbal communication skillsSpecialized in design and configuration of SAP Sales and Distribution (SD) module Experience with SAP SD user exits for sales order, delivery, billing etc.Good knowledge of SD pricingUnderstanding of SD account assignment and revenue recognition processesAbility to debug ABAPPerforming SAP configurations in SAP SD areaWriting of functional/technical specifications for ABAP custom programs and interfaces Experience with intercompany postings and pro forma invoicesKnowledge of SAP iDocs for order inductionIntegration with other SAP modulesProject management experience of SAP projects with integration to external systems and business partners (prior experience with Apple PLC is preferred)Understanding new business strategies, providing recommendations for automated solutions to support new strategiesAbility to playback designs and system developments to an audience of business users up to 10-20 peopleImplementing the proposed solutions with pre-determined resources, budget and timelines Working with the business users from all regions to define scope and gather business requirementsProviding conceptual and detail design to meet business needsWriting detail specifications for development of ABAP custom programsTesting and rollout of the final productAbility to work independently with minimal supervision and work on multiple projects simultaneouslyBe skilled in working with cross-functional teams

","Austin, TX",Full-time,https://www.linkedin.com/jobs/view/3904099517/?trk=jobs_biz_prem_srch,Mid-Senior level,SAP SD
Collabera,IT Project Manager,"Client Domain:- Power Generation
Role:- Infrastructure Project Manager
Duration:-     6+ Months Contract(Possible Extension)
Location:-       Houston, TX 77008(2 Day On-site)
 
About The Job
The Project Manager will be responsible for the planning, execution, and closure of projects. They will be responsible for creating long- and short-term plans and setting targets for milestones, delegating tasks, serving as a point of contact for teams, and performing quality control.
 
About Day-to-Day Responsibilities


Creating long- and short-term plans, including setting targets for milestones and adhering to deadlines


Delegating tasks on the project to resources best positioned to complete them


Making effective decisions when presented with multiple options for how to progress with the project

Serving as a point of contact for teams when multiple units are assigned to the same project to ensure team actions remain in synergy

Communicating with executives or the board to keep the project aligned with their goals


Performing quality control on the project throughout development to maintain the standards. 


Must-Have:


IT Infrastructure knowledge and experience (Networks, Security, Server, Storage as examples)


7 + years of experience as a Project Manager


Ability to understand technical verbiage capture accurate notes and task out action items accordingly


Ability to draft communication plans and deployment documentation


Ability to create process flow diagrams

Ability to multitask and manage multiple workstreams

Strong communication and interpersonal skills, highly responsive and task-oriented


Organized


Proficient in Excel for organization","Houston, TX",Contract,https://www.linkedin.com/jobs/view/3904099674/?trk=jobs_biz_prem_srch,Mid-Senior level,"Infrastructure Project Manager,Project Manager,IT Infrastructure,IT/OT Infrastructure,Network,Security,Visio,Process Mapping,Excel,Pivot Table,Vlook Up"
Sidley Austin LLP,Law School Engagement Assistant,"
Overview

We are currently seeking a detail-oriented and organized Law School Engagement Assistant to support our law school engagement team with the firm-wide recruitment of law students, with a focus on our sponsorships and programs in addition to providing support with the planning and execution of the West Coast summer associate programs and the recruitment of the West Coast law students. This position will be based in our Century City office however, travel to our downtown Los Angeles office will be required throughout the summer. The ideal candidate is highly collaborative and will have strong communication skills and the ability to thrive in a fast-paced environment.


Responsibilities

Assist in managing the invoicing process for sponsorship agreements, ensuring accuracy and timeliness in payment.Maintain detailed records of sponsorship payments and expenses, tracking budgets and reconciling accounts as needed.Coordinate logistics for recruiting events and sponsorships, including scheduling, venue coordination, and materials preparation.Support the development and distribution of promotional materials for recruiting events and sponsored programs.Assist with communication efforts to engage with law schools, student organizations, and sponsored entities, including email correspondence and follow-up.Collaborate with the recruiting team to gather feedback and metrics from school engagement and sponsorship initiatives, contributing to evaluation and analysis efforts.Assist with the on-campus and law student recruiting process for the West Coast recruiting team Assist in coordinating and planning all aspects of the summer associate program (events, trainings, name tags, collecting responses, maintaining spreadsheets etc.)Assist with summer associate onboarding and orientation as necessary (e.g. prepare materials, track progress)Assist with general administrative tasks, including research projects, data entry, and maintaining records.Maintain LawCruit database with accurate and complete recordsMaintain NetDocs file management system with accurate and complete recordsAssist with fall associate onboarding and orientation as necessaryMust be willing to work overtime as requested, especially during the months of May through AugustCalifornia Applicants: Salaries may vary by location. In Southern California, the estimated target salary range of this role is $60,500 - $71,500, in addition to bonus eligibility and a comprehensive benefit package. Salary determinations are made based on numerous factors, such as, but not limited to, the relevant market and the skill, experience, class or graduation year, and education of the selected candidate.
","Los Angeles, California, United States",Full-time,https://www.linkedin.com/jobs/view/3904357998/?trk=jobs_biz_prem_srch,Entry level,"
Qualifications

To perform this job successfully, an individual must be able to perform the Duties and Responsibilities (Duties) above satisfactorily and meet the requirements below. The requirements listed below are representative of the minimum knowledge, skill, and/or ability required. Reasonable accommodations will be made to enable individuals with disabilities to perform the essential functions of the job. If you need such an accommodation, please email staffrecruiting@sidley.com (current employees should contact Human Resources).  Education and/or Experience: Required:Possesses strong organizational and time-management skills, including the ability to prioritize projects and meet deadlines; excellent written and oral communication skills, ability to work independently and be proactive
Strong computer skills including knowledge of Microsoft Suite (Word, Excel, PowerPoint).Demonstrated proficiency in Microsoft Office Suite.

Preferred:Bachelor’s degree from an accredited college or universityA minimum of 2 years of experience in legal law firm recruiting or other professional services organization.Experience working with recruiting databases. Other Skills and Abilities:The following will also be required of the successful candidate:Strong organizational skillsStrong attention to detailGood judgmentStrong interpersonal communication skillsStrong analytical and problem-solving skillsAble to work harmoniously and effectively with othersAble to preserve confidentiality and exercise discretionAble to work under pressureAble to manage multiple projects with competing deadlines and priorities Sidley Austin LLP is an Equal Opportunity Employer.



PI239701672"
Acolad group,Media Project Manager - PST coverage,"Acolad is an international leader in language and content solutions, services, and technologies. Represented by the brands Acolad, TextMaster and Ubiqus, the group is present in 25 countries and has a network of over 2,500 internal experts worldwide and +20,000 external linguists.At Acolad, every position is key to our global growth: we know that we will only succeed if our people succeed.Joining Acolad means a unique opportunity for professional development through a collaborative global environment that promotes talent and creativity. We are continuously looking for new talent (like you!) to support our mission to drive growth and innovation across some of the world's leading brand.Seeking a Client facing Media Project Manager to join our client team. Will beresponsible for the entire life cycle of content services projects in a given portfolio, ensuring customer expectation are met in terms of turnaround time, quality, and price; while in parallel ensuring budget/margin optimization

Requirements

Main Responsibilities

Handling of daily translation/localization requests Proactive communication with all involved stakeholdersManage the stakeholders' expectations and the suppliers' activitiesEnsure on-time and high-quality deliveriesWork closely with Marketing and Web Localization ManagersHands-on with in-house TMS (Smartling) Collaborate with the Web developers and technical teams.Assistance in other content areas may be needed as well Requirements

Very strong customer orientation""can-do"" approach to your work and a team playerExcellent communication and organizational skillsFor day-to-day communication, a native level of English and other languages is beneficialProactivity, resilience, and independence are among the special skillsA target- and process-oriented way of working as well as multitasking and the ability to work in a teamOpen to try new possibilities, have a creative mindExperience working with CAT tools, multilingual glossary formats and Translation Memory managementExperience managing a range of project types and projects of varying complexityExperience managing projects that involve Desktop Publishing services, subtitling and voice-over.Experience with CMS, TMS and QC is a plus.Experience in Media, Website Coordination and Marketing.  Educational background

Bachelor's degree or equivalent work experience in the localization industry. Professional background

2+ years of experience processing translation project requests on either the vendor or buyer side within the language service area.Excellent analytical skills.IT Knowledge of MS Office, Smartling and a TMS system  

Benefits

Acolad offers a comprehensive benefits package. New employees are eligible to receive benefits on the first day of the month after their start date. Highlights of the program include:✨Medical, Dental, Vision, Life Insurance, Short-Term Disability, Health Savings and Flexible Spending Account options.✨Many other voluntary options to choose from: Voluntary Life Insurance, Long-Term Disability, Buy-Up Short-Term Disability, Identity Theft, Legal Insurance and Critical Illness Insurance.✨401(k) plan with 50% match on 12% employee contribution - providing an employer contribution of up to 6%.In addition to the benefits package, Acolad also offers the following time off:✨Starting with 15 days of paid time off annually, with ability to move to 28 days within five years of tenure.✨Nine paid holidays per year.Salary base range for this position is between $48K to $60K, dependent upon experience and physical location. This opportunity will close May 15, 2024","Hudson, WI",Full-time,https://www.linkedin.com/jobs/view/3904362147/?trk=jobs_biz_prem_srch,Associate,project management
Local Government Federal Credit Union,"Member Service Advisor, Asheville (Branch Advisor)","Description: The Civic Advisor will play a crucial role in providing superior member experience with enhanced awareness and continued education of existing products and services. This is accomplished by offering digital options, processing accurate and professional member transactions and discovering member centric account solutions. The Civic Advisor will be a part of the member's journey in exploring financial goals, building trust through operational soundness and becoming a frontline touchpoint for members and staff. At the core, the Civic Advisor will embody Civic's values, policies and vision while fostering an inclusive environment for both branch staff and members.
NORMAL DAY-TO-DAY WORKDemonstrates exceptional member service by providing personalized solutions, creating memorable interactions and exceeding member expectations.Builds and fosters relationships with current and potential members to increase their financial well-being.Exhibits adept recognition and adjustment to member needs while employing active listening techniques to effectively de-escalate member concerns. Conducts thorough research to address and resolve member inquiries, preparing necessary documentation as needed.Maintains and balances assigned cash drawer daily, while following operational procedures and cash limits. Participates in opening and closing procedures, as needed.Accurately processes member transaction requests and responds to member inquiries via various channels in a timely manner.Provides lobby support and maintains a strong knowledge of products and services available to Civic members. Performs lending functions and maintains credit union policies and procedures.Acts as a personal banker and educates members on digital solutions by providing self-service alternatives to manage finances at their convenience.Participates in required meetings and trainings while promoting a positive team environment. Shares knowledge of member feedback and effective practices.Collaborates with internal departments to provide a closed-loop experience for member requests.Complies with regulation, policies, procedure and operational guidelines. Proactively assesses and mitigates operational risks, ensuring compliance with regulations, audit requests and implements security measures when appropriate. 
JOB QUALIFICATIONS Here are a few qualifications you MUST have to be qualified for this position. Minimum 1 – 3 years of banking/member service experience.High school diploma or equivalent.Excellent verbal, written, telephone and interpersonal communication skills.Demonstrated strong customer service skills.PC proficient, including Microsoft Office (Word, Excel, PowerPoint, Access, Outlook) and the Internet.Ability to function in a Consumer business office environment and utilize standard office equipment including but not limited to: PC, copier, telephone, etc.Ability to lift a minimum of 25 lbs. (file boxes, computer printer).Travel required on occasion.
Here are a few qualifications we'd LIKE for you to have. Credit Union member service experience.Knowledge of financial products and services, mobile and on-line banking a plus.
OUR CULTUREOur organization believes we can all do well by doing good. We value the contributions of diverse minds and prioritize the success and wellbeing of our employees. We also believe every person in our organization plays a role in supporting a healthy environment and helping to achieve our goal of prosperity for all. To this end, we recruit bright, energetic, and talented people to be members of our team. In return, we offer a dynamic workplace that presents opportunities for professional advancement and individual growth. We strive to always display integrity, self-awareness, courage, and respect for one another while continuing to seek opportunities to learn. We really believe that when our employees succeed, our community wins. 
If you have questions about this position description, please feel welcome to ask. You can reach HR at: Human Resources3600 Wake Forest Rd, Raleigh, NC 27609 careers@civicfcu.orgRequirements:
","Asheville, NC",Full-time,https://www.linkedin.com/jobs/view/3904363188/?trk=jobs_biz_prem_srch,Mid-Senior level,"



PIb204576959b8-29463-33993811"
Rise Baking Company,"Electrician-Journeyman ($2,500 Hiring Bonus!)","Rise Baking Company was founded by bakery experts passionate about providing our customers with high quality products and providing a positive, collaborative place to work for our people. We are a company built on elevating expectations. It’s what sets us apart from others in the baking industry. And our people are our finest ingredient. We believe the quality of our people is just as important as the quality of our products. Our environment encourages creativity, and we value an entrepreneurial and industrious approach to work —a place where honesty, respect, and trust are the essential ingredients for how we do business. We take pride in working with creative individuals with a passion for what they do, and we’re always looking to expand our team. We offer a wide variety of professional and management opportunities, including sales, product development, account management, general management, finance, engineering, administration, and information systems management. We also employ a diverse workforce of hourly food production, packaging, quality assurance, warehouse, sanitation personnel, leads, and supervisors. Like our products, our benefits package offers quality that makes a difference. Coverage options may include: Medical, dental, life, disability, vision, and supplemental insurance Company paid holidays Paid Time Off (PTO) plans Performance bonus potential 401k plan with company match  Expectations Deliciously Exceeded. 
Job Purpose Support the Company’s maintenance program by focusing on plant equipment and building maintenance in a manner that meets and complies with all food safety policies and OSHA regulations. 
Essential FunctionsPlans details of working procedure by determining replacement needs or new material required and develops a logical approach to correct the problem.Troubleshoot and repair mechanical systems (e.g., mechanical drive components, hydraulic and pneumatic systems) Troubleshoot and repair electrical systems (e.g., wiring, circuits, fuses, switches, VFDs, contactors, circuit breakers, transformers, motors, and AC/DC motor drives) Perform preventive and/or predictive maintenance on all plant equipment Perform building maintenance and repairs (e.g., HVAC, cooling systems, lights, powered industrial trucks, floor scrubbers, plumbing) Analyzes circuits, wiring diagrams and drawings to install, repair, calibrate, service and/or replace electronic devices and systemsTroubleshoot PLCsTroubleshoot electrical control circuits Report food safety and quality issues to appropriate personnel immediatelyAdvises and cautions operators and mechanics about potential electrical problems and inherent dangers involved.Notifies supervisor of potentially dangerous electrical equipment noted and corrective action taken. Comply with all food safety requirements, training, policies, and procedures Services electronic equipment by checking, testing, and replacing faulty components, circuits, printed circuit boards, and similar electronic devises Perform other job-related duties as assigned 
Qualifications (Education/Experience) 2-year degree in electronics/maintenance mechanics or 5+ years in maintenance mechanics role, including repair or preventive maintenance in hydraulics, pneumatics, machine shop, electricity, or electronics PLC troubleshooting experienceKnowledge of CMMS and experience in using such systemsStick, mig and/or tig welding skills; ability to weld to sanitary standards Intermediate computer skills including experience with Microsoft Office Ability to understand and utilize 5S methodology Ability to work with basic mathematical concepts to identify solutions Ability to solve practical problems and deal with a variety of concrete variables in situations where only limited standardization exists Ability to work independently with minimal supervision and as part of a team to complete assigned tasksAbility to work in a fast-paced manufacturing environment 
An Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, or protected veteran status and will not be discriminated against based on disability.RISE123MON123 
1st, and 2nd","Arkansas, AR",Full-time,https://www.linkedin.com/jobs/view/3904364106/?trk=jobs_biz_prem_srch,Entry level,"



PI91d5131fa45f-29462-34277879"
Wavepoint 3PL,Carrier Sales Representative,"Description:The Carrier Sales Representative is responsible for sourcing and procuring carrier services, using on-the-spot sales and negotiation skills while always focusing on growing long-term relationships and the financial goals of the organization. The Carrier Sales Representative excels at problem-solving, communication, and teamwork in a fast-paced, high energy and competitive work environment. To be successful in this role, you will develop and grow relationships with carriers and other transportation companies. 
 BenefitsCompetitive WagesPaid Vacation and Sick timeMedical/Dental/Vision InsuranceFlexible Spending Account8 Paid holiday daysCompany-paid Life InsuranceCompany match 401(k) Retirement SavingsRequirements:Develop a business strategy to build a book of business for carriers.Provide and negotiate freight rates to carriers.Seek out and solve potential freight-related operational issues.Ensure that all freight is moved on time and at a fair cost.Collaborate internally with our sales team on freight rates, market trends, pricing strategy, and account implementation plans.Procurement of new carriers based on volume and lane density.Communicate effectively both internally and externally.Resolve transportation problems with urgency and professionalism.Maintain over 90% MacroPoint tracking percentage.Maintain a strong grasp and market knowledge of shipping lanes, geography, and seasonality.Manage and update loads in the transportation management system.Make daily calls to carriers to cover available loads.Maximize margins for each load through negotiation and understanding of the market.Resolve any load/unloading issues with the carrier and update customers.Work with brokerage systems within 48 hours of ship date to help cover loads.Develop/source carrier base utilizing various tools and systems.Solicit rates/bids from carriers.Occasionally work evenings or weekends as required to assist customers.Talk to drivers/dispatchers and customers constantly for updates, directions, etc.Utilize quality and satisfactory carriers per DOT and company requirements.Set load alarms strategically to minimize any missed delivery/load times.Immediately enter status updates in the system to show the date/time when the truck was booked on a load.Education/Experience Requirements: Bachelor's degree preferred. Ability to persuade, motivate, influence, and negotiate with others. Ability to thrive under deadlines, drive results, and multi-task. Logistics operations or carrier sales experienceAbility to multi-task and work in a fast-paced environmentAbility to negotiate and foster relationships.General knowledge of transportation and ability to learn quickly.Attention to detail and strong follow-up skills are a must.Ability to make decisions based on market conditions.","Pittsburgh, PA",Full-time,https://www.linkedin.com/jobs/view/3904365095/?trk=jobs_biz_prem_srch,Entry level,"



PI5127e7ae52f6-29462-33608073"
Wavepoint 3PL,Warehouse Clerk 1st Shift,"Description:The Warehouse Clerk is responsible for ensuring accuracy and efficiency in the assignment of inbound trailers to dock doors while providing exemplary levels of customer service to drivers and other visitors. Additionally, the warehouse clerk will be responsible to assign work to warehouse employees, track key metrics, and assist with billing. In this role, the incumbent will assume responsibility for the quality standards and customer service of all visitors to the facility. The Warehouse Clerk is responsible for all administrative tasks to support receiving, warehouse operations, shipping, and billing.
BenefitsCompetitive WagesPaid Vacation and Sick timeMedical/Dental/Vision InsuranceFlexible Spending Account8 Paid holiday daysCompany-paid Life InsuranceCompany match 401(k) Retirement Savings
Duties and Responsibilities:Must be trained on the WMS system and understand all necessary operations within the warehouse office and appropriate reports and other documentation. Accurately sign in inbound trailers. Review manifest, and trailer # against driver sign-in.Assign inbound trailers to the appropriate dock door and warehouse laborer.Accurately sign in outbound trailers against driver sign-in.Review outbound paperwork, and assign outbound loads to the appropriate dock.Accurately prepare all paperwork for inbound and outbound loads.Communicate necessary information requested by the customer either by phone, e-mail, or other correspondence.Communicate task assignments to warehouse workers if neededOwn reporting responsibilities for the warehouseSupport accounts receivable to accurately invoice customers for services providedExhibit a high level of customer focus, planning, time management, problem-solving, and providing timely communications and organizational skills to support departmental operations. Maintain qualification to perform duties within warehouse operations including operating forklift, performing packaging, and office duties as required. Utilize skills to support execution regularly, dedicating up to 10% of weekly hours towards executing productive tasks to maintain skills and help support teamAll other duties as assigned by Supervisor.Requirements:Education and Experience High School Diploma or GED preferred. 1-2 years in a warehouse environment preferred. Must be able to be trained on the WMS system. Must be able to read, write and speak English. Strong interpersonal skills including problem-solving, active listening, and conflict management.Flexible availabilityStrong decision-making and problem-solving skillsExcellent interpersonal skills with the ability to build rapport with a variety of workgroups.Superior verbal and written communication, data analysis techniques, and supply chain interpretation.

Compensation details: 15-17 Hourly Wage","Dunkirk, NY",Full-time,https://www.linkedin.com/jobs/view/3904365096/?trk=jobs_biz_prem_srch,Entry level,"



PI8bb759109819-29462-34185389"
Kroger,Pharmacy Central Fill - General Manager,"

Oversee the Central Fill and Postal Prescription Services operations. Responsibilities include managing production, human resources, compliance issues, and expectations of financial goals. Responsible for enhancing and developing policies, procedures and employee engagement. Demonstrate the company's core values of respect, honesty, integrity, diversity, inclusion and safety.

- Manage all human resources issues for the Central Fill/PPS business
- Manage direct reports and assist all Central Fill/PPS associates in accomplishing strategic plan goals and objectives
- Monitor and manage all inventory levels for drugs/supplies
- Oversee overall accuracy and safety of the facility
- Maintain facility maintenance and cleanliness
- Maximize store orders and minimize store rejections
- Monitor Pharmacist and employee productivity
- Lead in the training and develop all associates
- Communicate and resolve safety, quality, delivery, costs and morale issues
- Supervise and coach direct reports in the performance of their duties; complete performance reviews and provide feedback to direct reports
- Serve in a senior leadership role and marketing representative for the Quality Management Committee
- Serve in a leadership role on the Accuracy Committee
- Spend up to 10 percent of time actively participating in the Quality Management Committee team functions
- Maintain flexibility to work any shift, including nights and weekends
- Must be able to perform the essential job functions of this position with or without reasonable accommodation
","Cleveland, TN",Full-time,https://www.linkedin.com/jobs/view/3904365776/?trk=jobs_biz_prem_srch,Mid-Senior level,"

Minimum
- Other Must be 18 years of age or older
- High School Diploma or GED 
- Knowledge of budgets
- Project management experience 
- Strong communication skills
- Proven leadership skills
- Proficient in Microsoft Office

Desired
- Bachelor's Degree 
- 5+ years management experience
- Knowledge of pharmacy systems
- Familiar with human resource compliance laws, regulations, policies and procedures
 

"
UST,GPU ASICS Engineer,"Role Description

GPU ASICS Engineer

Associate II - Engineering Design

Who We Are

Born digital, UST transforms lives through the power of technology. We walk alongside our clients and partners, embedding innovation and agility into everything they do. We help them create transformative experiences and human-centered solutions for a better world.

UST is a mission-driven group of over 39,000+ practical problem solvers and creative thinkers in over 30+ countries. Our entrepreneurial teams are empowered to innovate, act nimbly, and create a lasting and sustainable impact for our clients, their customers, and the communities in which we live.

With us, you’ll create a boundless impact that transforms your career—and the lives of people across the world.

Visit us at UST.com.

You Are

UST is looking for Senior ASIC Engineer with excellent analytical and technical skills to work with one of the leading semiconductor organizations in the US. This is a great opportunity to join a fast-paced SoC team ASIC designers and software engineers to micro-architect and implement designs specific to Digital Sensor subsystems for integration into SoC for mobile applications.

The Opportunity

 Applies GPU knowledge and experience to architect, design, implement, verify, and/or optimize the performance and power of GPU cores. Builds functional model simulations, develops software, and tests for various graphics to verify correctness and ensures performance and power goals are met. Programs and runs graphics tests using tools and methods to assess functionality, performance, and power and identify issues. Collaborates with teams, third-party vendors, and external users to guide implementation and ensure alignment with needs and goals. Develops driver and compiler software to support GPU products. Writes detailed technical documentation and feature descriptions for GPU projects to guide users and/or customers to use or implement software. This position would be working closely with other teams to learn how to play and measure the games (20 to 30 games) and utilize Power measurement setup along with some of the scripts from our existing automation and measure power curve for those games. Lab centric manual/partial automated testing. Measure power and perf for various games. Work with Perf team on perf validation Learn to execute the games and build power curve. Work with other lab members to utilize some of the automation scripts.

This position description identifies the responsibilities and tasks typically associated with the performance of the position. Other relevant essential functions may be required.

What You Need

 2+ years of experience Windows Device Test Profile 2+ years of experience in power and performance measurement Experience with validating and analyzing data from testing Experience with JavaScript and Python programming Familiarity with lab equipment NIL, Oscilloscopes, etc. Required Education: Bachelor's degree in Computer Engineering, Computer Science, Electrical Engineering, or related field and 2+ years of Software Engineering, Hardware Engineering, Systems Engineering, or related work experience. OR Master's degree in Computer Engineering, Computer Science, Electrical Engineering, or related field and 1+ year of Software Engineering, Hardware Engineering, Systems Engineering, or related work experience. Prior lab experience with on device testing Experience with windows devices perf/power measurement Some exposure to python scripting Bachelor Preferred Qualification: Windows device testing Power measurement equipment familiarity (DAQ, DMM, etc.) Java script

Compensation can differ depending on factors including but not limited to the specific office location, role, skill set, education, and level of experience. As required by applicable law, UST provides a reasonable range of compensation for roles that may be hired in various U.S. markets as set forth below.

Role Location: California

Compensation Range:  $57,000-$85,000

Our full-time, regular associates are eligible for 401K matching, and vacation accrual and are covered from day 1 for paid sick time, healthcare, dental, vision, life, and disability insurance benefits. Depending on the role, some associates may also be eligible for stock options.

What We Believe

We’re proud to embrace the same values that have shaped UST since the beginning. Since day one, we’ve been building enduring relationships and a culture of integrity. And today, it's those same values that are inspiring us to encourage innovation from everyone to champion diversity and inclusion, and to place people at the center of everything we do.

Humility

We will listen, learn, be empathetic and help selflessly in our interactions with everyone.

Humanity

Through business, we will better the lives of those less fortunate than ourselves.

Integrity

We honor our commitments and act with responsibility in all our relationships.

Equal Employment Opportunity Statement

UST is an Equal Opportunity Employer.

All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or status as a protected veteran.

UST reserves the right to periodically redefine your roles and responsibilities based on the requirements of the organization and/or your performance.

#UST

Skills

Javascript,Python Programming,Power Management,windows systems

","San Diego, CA",Full-time,https://www.linkedin.com/jobs/view/3904365832/?trk=jobs_biz_prem_srch,Entry level,"Javascript,Python Programming,Power Management,windows systems"
